,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
2392,2021M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.23,06,2021
2395,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
2398,2017M11,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",3439.89,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.99,11,2017
2400,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,05,2020
2408,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,16174911.4,"CENTERPOINT ENERGY SERVICES, INC.","ENERGY, DEPARTMENT OF",3.12,05,2017
2410,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,160800.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.7,03,2018
2411,2021M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,4.05,08,2021
2412,2021M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,25020.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.56,03,2021
2413,2020M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,490.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.61,06,2020
2417,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,114448.41,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.79,03,2020
2418,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,136786.35,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.4,06,2019
2421,2018M09,NATURAL GAS EXTRACTION,INSTALLATION OF EQUIPMENT- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT,0.0,AMETHYST BUILDERS LLC,DEPT OF THE ARMY,2.98,09,2018
2427,2019M06,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.4,06,2019
2430,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,171729.82,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.95,06,2018
2432,2017M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.96,07,2017
2433,2017M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.12,05,2017
2439,2021M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIPMENT- MAINTENANCE AND REPAIR SHOP EQUIPMENT,6600.0,"HAFER PETROLEUM EQUIPMENT, LTD.","VETERANS AFFAIRS, DEPARTMENT OF",2.61,04,2021
2440,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- PIPE, TUBING, HOSE, AND FITTINGS",17257.0,"MEARS GROUP, INC.",NATIONAL TRANSPORTATION SAFETY BOARD,2.58,09,2019
2444,2019M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,147238.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.94,03,2019
2451,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,57967.71,"CALIFORNIA HAZARDOUS SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",1.92,05,2016
2452,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,06,2019
2453,2019M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,258928.43,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.08,01,2019
2457,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8145.14,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,1.92,09,2020
2469,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1575.0,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08,04,2017
2483,2018M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.28,10,2018
2507,2019M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9135.1,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.24,12,2019
2512,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,216548.18,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.59,11,2020
2518,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7605.18,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.58,12,2016
2519,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,616380.33,"INTEGRYS ENERGY SERVICES - NATURAL GAS, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.5,11,2016
2521,2019M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEFENSE LOGISTICS AGENCY,2.22,08,2019
2525,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
2528,2018M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: EXPERT WITNESS,200327.5,"GAFFNEY, CLINE & ASSOCIATES, INC.",INTERNAL REVENUE SERVICE,2.78,04,2018
2532,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,02,2019
2540,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,0.0,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE AIR FORCE,2.33,10,2019
2545,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,7425.92,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.99,11,2017
2550,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,129891.64,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25,10,2020
2552,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,389810.63,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.33,10,2019
2562,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,130240.87,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.74,07,2020
2565,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,155170.0,COLLIER GEOPHYSICS LLC,BUREAU OF RECLAMATION,2.58,09,2019
2572,2019M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,937281.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.72,02,2019
2574,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- MEDICAL/HEALTH,26000.0,TAYLOR SAFETY CONSULTING,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2.99,11,2017
2578,2016M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,637.34,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.57,06,2016
2579,2018M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"HIGH DESERT PIPELINE, INC.",DEFENSE LOGISTICS AGENCY,2.67,02,2018
2586,2019M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1356.33,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.33,10,2019
2587,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6318.13,LIQUIGAS SPA,DEPT OF THE ARMY,2.95,10,2016
2589,2019M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"SYMMETRY ENERGY SOLUTIONS, LLC",DEFENSE LOGISTICS AGENCY,2.65,04,2019
2591,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5999.24,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.97,09,2016
2594,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,05,2020
2601,2021M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LEASE OR RENTAL OF EQUIPMENT- FIRE CONTROL EQUIPMENT,25000.0,"HART VENTURES, INC.",FOREST SERVICE,2.89,05,2021
2606,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,14028.7,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4,06,2019
2608,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,4870.0,"MASS TANK INSPECTION SERIVICES, LLC",NATIONAL INSTITUTES OF HEALTH,2.79,07,2016
2618,2020M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",20930.0,"TYREE OIL, INC.","VETERANS AFFAIRS, DEPARTMENT OF",1.61,06,2020
2625,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,25600.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,1.92,02,2020
2627,2019M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,178298.83,"SAGE ENERGY TRADING, LLC",DEFENSE LOGISTICS AGENCY,2.63,05,2019
2630,2018M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9436.0,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.96,08,2018
2637,2020M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,10927.01,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,1.75,05,2020
2640,2016M11,NATURAL GAS LIQUID EXTRACTION,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,2423.69,"SANTIAGO, ROBERTO",DEPT OF THE ARMY,2.5,11,2016
2644,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,4630.3,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96,08,2018
2669,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,75000.0,"DRILLING INFO, INC.",ENVIRONMENTAL PROTECTION AGENCY,1.92,09,2020
2689,2017M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4938.82,LIQUIGAS SPA,DEPT OF THE ARMY,2.88,08,2017
2694,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,02,2021
2695,2020M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.03,01,2020
2702,2018M08,NATURAL GAS EXTRACTION,PREFABRICATED TOWER STRUCTURES,47895.0,"PARS CONSULTING ENGINEERS, INC.",DEPT OF THE ARMY,2.96,08,2018
2706,2019M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"UGI ENERGY SERVICES, LLC","ENERGY, DEPARTMENT OF",2.94,03,2019
2715,2020M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,14105.0,THREE MULES WELDING SUPPLIES,DEPT OF THE NAVY,1.92,02,2020
2718,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,220682.57,"SYMMETRY ENERGY SOLUTIONS, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.33,10,2019
2728,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,05,2019
2732,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1735.44,ENERGAS SPA,DEPT OF THE ARMY,1.96,02,2016
2742,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.25,10,2020
2746,2019M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,GAS SOUTH LLC,DEFENSE LOGISTICS AGENCY,2.65,04,2019
2747,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,2532.0,GLENN OIL COMPANY LLC,DEPT OF THE ARMY,2.94,06,2017
2759,2021M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.56,03,2021
2762,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",1000.0,BUSTER'S BUTANE GAS CO INC,DEPT OF THE NAVY,2.96,09,2017
2763,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEFENSE LOGISTICS AGENCY,2.88,08,2017
2764,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,13000.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79,07,2016
2768,2021M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,48045.98,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,4.05,08,2021
2769,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,38628.84,BP ENERGY COMPANY,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95,10,2016
2780,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42433.53,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.4,06,2019
2785,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,947.58,ENERGAS SPA,DEPT OF THE ARMY,2.86,10,2017
2791,2021M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,122780.73,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.89,05,2021
2792,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,95996.89,"ENERGY WEST RESOURCES, INC",DEPT OF THE AIR FORCE,2.57,06,2016
2797,2019M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,11,2019
2804,2018M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,4461.22,"MARK J. TRAUT WELLS, INC",US GEOLOGICAL SURVEY,2.96,08,2018
2808,2018M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,139200.45,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.67,02,2018
2812,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,234990.28,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.03,01,2020
2815,2016M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",12380.0,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95,10,2016
2817,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3430.2,PROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DEPT OF THE AIR FORCE,2.58,09,2019
2823,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,9380.24,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.79,08,2016
2829,2019M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.33,10,2019
2831,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,139112.45,"INTERSPEC, LLC",DEPT OF THE ARMY,2.79,07,2016
2839,2016M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",900.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,1.7,03,2016
2846,2021M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,82530.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.61,04,2021
2851,2019M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.33,10,2019
2854,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY,2.25,10,2020
2857,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.86,10,2017
2862,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,339804.64,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",3.28,10,2018
2867,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,05,2019
2870,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,26093.58,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.36,07,2019
2879,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,01,2019
2888,2019M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,80552.15,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.94,03,2019
2900,2018M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,26876.25,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,3.98,12,2018
2908,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,154012.81,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.7,03,2018
2909,2021M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.23,06,2021
2919,2020M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,04,2020
2924,2018M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,96110.23,"TIGER NATURAL GAS, INC.",DEFENSE LOGISTICS AGENCY,2.83,07,2018
2929,2018M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"FUELS, SOLID",112.73,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE NAVY,2.98,09,2018
2930,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,421675.5,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.89,03,2017
2943,2019M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,10863.29,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.08,01,2019
2945,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,146668.71,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.88,08,2017
2946,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,157729.57,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.86,10,2017
2948,2017M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,10548.96,"COLONIAL OIL INDUSTRIES, INC.",U.S. COAST GUARD,3.26,01,2017
2954,2018M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,71318.32,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.67,02,2018
2957,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,237715.51,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.7,03,2016
2958,2019M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.94,03,2019
2965,2019M12,NATURAL GAS EXTRACTION,UTILITIES- GAS,140000.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.24,12,2019
2966,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,75056.74,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,3.26,01,2017
2968,2019M10,NATURAL GAS EXTRACTION,UTILITIES- OTHER,464088.68,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.33,10,2019
2978,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,106642.03,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86,10,2017
2980,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
2981,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11400.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",4.05,08,2021
2982,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,353193.76,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.99,11,2017
2985,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,51000.0,"DRILLING INFO, INC.","ENERGY, DEPARTMENT OF",2.3,08,2020
2990,2021M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.8,07,2021
2992,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",6038.48,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.96,02,2016
3000,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,02,2020
3003,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
3009,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT",2073.41,UNIK ARQUITECTURA SAS,DEPT OF THE ARMY,2.88,08,2017
3013,2017M09,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11136.0,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.96,09,2017
3018,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4998.32,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.79,07,2016
3021,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.54,12,2020
3035,2019M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,221610.48,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.94,03,2019
