,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
1993,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40450,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.36,7,2019
1996,2018M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",3045,"APPLIED REMEDIATION COMPANY, INC.",OTHER,2.7,3,2018
1998,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
2003,2019M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,534700.25,"COLONIAL ENERGY, INC.",OTHER,2.94,3,2019
2006,2018M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,325725,"COLONIAL ENERGY, INC.",OTHER,2.83,7,2018
2021,2020M05,NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",285.03,BSE PERFORMANCE LLC,DEPT OF THE ARMY,1.75,5,2020
2022,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",30000,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.97,9,2016
2026,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,26141.42,"CLEAN HARBORS ENVIRONMENTAL SERVICES, INC.",OTHER,2.58,9,2019
2037,2016M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,54871.42,"MEDRANO ZUNIGA, VICTOR D.",OTHER,2.57,6,2016
2039,2018M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,386092.07,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.67,2,2018
2058,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,1399200,"TIGER NATURAL GAS, INC.",OTHER,2.25,10,2020
2066,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",9750,DIESEL FUEL MASTERS LLC,DEPT OF THE ARMY,2.79,8,2016
2069,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,104377.66,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.28,10,2018
2078,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,444571.3,"WGL ENERGY SERVICES, INC.",OTHER,2.59,11,2020
2080,2016M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,3800,TLR SERVICES INC,OTHER,2.57,6,2016
2084,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),343698,WELTER CONSULTING INC,OTHER,5.11,9,2021
2085,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1960,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
2093,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- FUELS, LUBRICANTS, OILS, AND WAXES",20575,BCI-QRI JV,OTHER,2.96,7,2017
2102,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,186376.01,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.28,10,2018
2116,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,542448,"A2D TECHNOLOGIES, INC.",OTHER,2.22,8,2019
2122,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
2133,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"DIGITAL MAPS, CHARTS AND GEODETIC PRODUCTS",132545.52,"GEOPHYSICAL PURSUIT, INC.",OTHER,2.58,9,2019
2134,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,59125,"OIL MANAGEMENT SERVICES, CORP.",OTHER,2.96,7,2017
2137,2017M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,10548.96,"COLONIAL FUEL AND LUBRICANT SERVICES, INC.",OTHER,3.08,4,2017
2142,2018M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.28,10,2018
2146,2021M08,NATURAL GAS EXTRACTION,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",10251.73,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",4.05,8,2021
2148,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,588,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,9,2021
2153,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,IT AND TELECOM- WEB-BASED SUBSCRIPTION,1553677.08,"DRILLING INFO, INC.",OTHER,2.88,8,2017
2155,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,328804.82,"TIGER NATURAL GAS, INC.",OTHER,2.86,10,2017
2168,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,95850,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.25,10,2020
2173,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11400,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",5.11,9,2021
2179,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",27647.76,"ALEUT ENTERPRISE, LLC",OTHER,2.58,9,2019
2184,2018M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9937.45,RIGGS OIL COMPANY,OTHER,2.8,5,2018
2186,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",347574.99,"DELTA COALS, LLC",OTHER,2.89,3,2017
2197,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58,9,2019
2201,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,63856.25,,DEPT OF THE ARMY,5.11,9,2021
2218,2018M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,70606,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.98,12,2018
2220,2021M09,NATURAL GAS EXTRACTION,UTILITIES- GAS,11802.12,,DEPT OF THE ARMY,5.11,9,2021
2227,2019M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"TILE, BRICK AND BLOCK",24735,"J.A.L. CONTRACTORS, INC.",OTHER,2.72,2,2019
2231,2020M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,226597.24,FUEL DROP INC.,DEPT OF THE AIR FORCE,1.92,2,2020
2233,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
2237,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,11351.75,"WEATHERFORD LABORATORIES, INC.",OTHER,2.96,9,2017
2243,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,14041.27,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.88,8,2017
2250,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,263215,"COLONIAL ENERGY, INC.",OTHER,2.96,8,2018
2258,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
2263,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7377.38,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.88,8,2017
2267,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
2272,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24472.8,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.94,6,2017
2273,2018M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,41579.28,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.78,4,2018
2297,2018M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,205890,"ENSPIRE ENERGY, LLC",OTHER,2.78,4,2018
2298,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
2301,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- REGULATORY,89000,"WESTERN PUMP, INC.",OTHER,2.79,8,2016
2306,2020M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.59,11,2020
2311,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,2032244.79,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.94,6,2017
2319,2021M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,135794.59,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,5.07,2,2021
2320,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,200349.97,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.25,10,2020
2326,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,394157.16,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.33,10,2019
2332,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,155.72,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92,5,2016
2339,2018M09,NATURAL GAS EXTRACTION,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",39130,"PANHANDLE ALARM AND TELEPHONE COMPANY, INC.",OTHER,2.98,9,2018
2351,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,421086.52,"DIRECT ENERGY BUSINESS MARKETING, LLC",OTHER,2.94,6,2017
2357,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT",11881.37,WHITE-TUCKER COMPANY,OTHER,2.96,9,2017
2363,2016M04,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",9369,ROGERS PETROLEUM INC.,OTHER,1.9,4,2016
2364,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,UTILITIES- GAS,4966.46,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.12,5,2017
2375,2020M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,256064.4,"ENSPIRE ENERGY, LLC",OTHER,1.74,4,2020
2379,2021M08,NATURAL GAS EXTRACTION,UTILITIES- GAS,1590000,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,4.05,8,2021
2380,2021M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.61,4,2021
2385,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1488788,"SUBURBAN PROPANE PARTNERS, L.P.",OTHER,1.92,9,2020
2392,2021M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.23,6,2021
2395,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
2398,2017M11,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",3439.89,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.99,11,2017
2400,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
2408,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,16174911.4,"CENTERPOINT ENERGY SERVICES, INC.",OTHER,3.12,5,2017
2410,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,160800,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.7,3,2018
2412,2021M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,25020,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.56,3,2021
2413,2020M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,490,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.61,6,2020
2417,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,114448.41,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.79,3,2020
2418,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,136786.35,"CENTERPOINT ENERGY SERVICES, INC.",OTHER,2.4,6,2019
2430,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,171729.82,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.95,6,2018
2432,2017M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1000,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.96,7,2017
2433,2017M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8000,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.12,5,2017
2439,2021M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIPMENT- MAINTENANCE AND REPAIR SHOP EQUIPMENT,6600,"HAFER PETROLEUM EQUIPMENT, LTD.",OTHER,2.61,4,2021
2440,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- PIPE, TUBING, HOSE, AND FITTINGS",17257,"MEARS GROUP, INC.",OTHER,2.58,9,2019
2444,2019M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,147238.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.94,3,2019
2451,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,57967.71,"CALIFORNIA HAZARDOUS SERVICES, INC.",OTHER,1.92,5,2016
2452,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,6,2019
2453,2019M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,258928.43,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.08,1,2019
2457,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8145.14,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,1.92,9,2020
2469,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1575,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08,4,2017
2483,2018M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.28,10,2018
2507,2019M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9135.1,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.24,12,2019
2512,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,216548.18,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.59,11,2020
2518,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7605.18,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.58,12,2016
2519,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,616380.33,"INTEGRYS ENERGY SERVICES - NATURAL GAS, LLC",OTHER,2.5,11,2016
2525,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
2528,2018M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: EXPERT WITNESS,200327.5,"GAFFNEY, CLINE & ASSOCIATES, INC.",OTHER,2.78,4,2018
2532,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,2,2019
2545,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,7425.92,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.99,11,2017
2550,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,129891.64,"TIGER NATURAL GAS, INC.",OTHER,2.25,10,2020
2552,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,389810.63,"COLONIAL ENERGY, INC.",OTHER,2.33,10,2019
2562,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,130240.87,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.74,7,2020
2565,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,155170,COLLIER GEOPHYSICS LLC,OTHER,2.58,9,2019
2572,2019M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,937281,"ENSPIRE ENERGY, LLC",OTHER,2.72,2,2019
2574,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- MEDICAL/HEALTH,26000,TAYLOR SAFETY CONSULTING,OTHER,2.99,11,2017
2578,2016M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,637.34,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.57,6,2016
2586,2019M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1356.33,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.33,10,2019
2587,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6318.13,LIQUIGAS SPA,DEPT OF THE ARMY,2.95,10,2016
2591,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5999.24,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.97,9,2016
2594,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
2601,2021M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LEASE OR RENTAL OF EQUIPMENT- FIRE CONTROL EQUIPMENT,25000,"HART VENTURES, INC.",OTHER,2.89,5,2021
2606,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,14028.7,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4,6,2019
2608,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,4870,"MASS TANK INSPECTION SERIVICES, LLC",OTHER,2.79,7,2016
2618,2020M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",20930,"TYREE OIL, INC.",OTHER,1.61,6,2020
2625,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,25600,"AMERIGAS PROPANE, L.P.",OTHER,1.92,2,2020
2627,2019M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,178298.83,"SAGE ENERGY TRADING, LLC",OTHER,2.63,5,2019
2630,2018M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9436,MARCUM OIL CO INC,OTHER,2.96,8,2018
2637,2020M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,10927.01,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,1.75,5,2020
2640,2016M11,NATURAL GAS LIQUID EXTRACTION,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,2423.69,"SANTIAGO, ROBERTO",DEPT OF THE ARMY,2.5,11,2016
2644,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,4630.3,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96,8,2018
2669,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,75000,"DRILLING INFO, INC.",OTHER,1.92,9,2020
2689,2017M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4938.82,LIQUIGAS SPA,DEPT OF THE ARMY,2.88,8,2017
2694,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
2695,2020M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.03,1,2020
2702,2018M08,NATURAL GAS EXTRACTION,PREFABRICATED TOWER STRUCTURES,47895,"PARS CONSULTING ENGINEERS, INC.",DEPT OF THE ARMY,2.96,8,2018
2715,2020M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,14105,THREE MULES WELDING SUPPLIES,OTHER,1.92,2,2020
2718,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,220682.57,"SYMMETRY ENERGY SOLUTIONS, LLC",OTHER,2.33,10,2019
2728,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
2732,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1735.44,ENERGAS SPA,DEPT OF THE ARMY,1.96,2,2016
2742,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.25,10,2020
2747,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,2532,GLENN OIL COMPANY LLC,DEPT OF THE ARMY,2.94,6,2017
2759,2021M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.56,3,2021
2762,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",1000,BUSTER'S BUTANE GAS CO INC,OTHER,2.96,9,2017
2764,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,13000,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79,7,2016
2768,2021M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,48045.98,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,4.05,8,2021
2769,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,38628.84,BP ENERGY COMPANY,OTHER,2.95,10,2016
2780,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42433.53,"DIRECT ENERGY BUSINESS MARKETING, LLC",OTHER,2.4,6,2019
2785,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,947.58,ENERGAS SPA,DEPT OF THE ARMY,2.86,10,2017
2791,2021M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,122780.73,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.89,5,2021
2792,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,95996.89,"ENERGY WEST RESOURCES, INC",DEPT OF THE AIR FORCE,2.57,6,2016
2797,2019M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,11,2019
