total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
0.0,2021M09,MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"ASRC CONSULTING & ENVIRONMENTAL SERVICES, LLC",BUREAU OF LAND MANAGEMENT
247699.2,2020M05,"FENCING, FENCES, GATES AND COMPONENTS",CONSTRUCTION SAND AND GRAVEL MINING,WHITE HOUSE- LOGISTIC SERVICES AND CONSTRUCTION LTD,DEPT OF THE ARMY
49560.0,2021M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"CROWLEY HOLDINGS, LLC",NATIONAL PARK SERVICE
332.0,2018M02,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
453.87,2017M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
191436.04,2016M03,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"E.M. OIL TRANSPORT, INC.",DEPT OF THE AIR FORCE
18005.0,2017M09,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"MEGGITT DEFENSE SYSTEMS, INC.",DEFENSE LOGISTICS AGENCY
0.0,2017M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
16585.0,2020M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,2M CONSTRUCTION INC,BUREAU OF RECLAMATION
196.0,2020M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
1044.0,2020M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"HANSOME ENERGY SYSTEMS, INC.",DEFENSE LOGISTICS AGENCY
190604.44,2017M05,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY
2944.4,2018M10,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"BROADWING AVIATION, LLC",DEFENSE LOGISTICS AGENCY
1457.02,2018M12,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
80000.0,2017M03,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,GECOBA,DEPT OF THE AIR FORCE
1091.83,2018M11,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY
420.0,2017M07,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"MECHATRONICS, INC.",DEFENSE LOGISTICS AGENCY
3901.74,2020M10,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"HYDRAULICS INTERNATIONAL, INC.",DEFENSE LOGISTICS AGENCY
43321.76,2019M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"C & E CONCRETE, INC.",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
11984.0,2017M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"KW TRUCKING, INC.",BUREAU OF LAND MANAGEMENT
3000.0,2018M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY
48555.57,2019M03,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,STAVOLA HOLDING CORPORATION,U.S. FISH AND WILDLIFE SERVICE
0.0,2020M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,EUROING SH.P.K,DEPT OF THE ARMY
3200.34,2019M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
6553.41,2016M01,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
74464.89,2017M06,SPECIAL STUDIES/ANALYSIS- ECONOMIC,SUPPORT ACTIVITIES FOR COAL MINING,STANTEC CONSULTING SERVICES INC.,BUREAU OF LAND MANAGEMENT
104.65,2018M06,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"SOLUTION ONE MARITIME, LLC",DEFENSE LOGISTICS AGENCY
221342.1,2017M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
3881.23,2017M09,ARCHITECT AND ENGINEERING- GENERAL: ELECTRICAL SYSTEMS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
0.0,2020M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CROWLEY HOLDINGS, LLC",U.S. FISH AND WILDLIFE SERVICE
5716.32,2021M05,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE",NATURAL GAS EXTRACTION,TIME WARNER CABLE ENTERPRISES LLC,DEPT OF THE ARMY
16204.02,2020M07,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
33741.75,2018M09,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,"N. R. HAMM QUARRY, INC.",DEPT OF THE ARMY
725558.0,2020M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,ARCHITECTURAL HOUSE EST. FOR CONTRACTING,DEPT OF THE AIR FORCE
515.6,2020M03,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,"PATTERSON COONEY, INC.",DEFENSE LOGISTICS AGENCY
360.0,2016M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,TRIMAN INDUSTRIES INC,DEFENSE LOGISTICS AGENCY
360.4,2017M10,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
11097.18,2018M07,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
40891.6,2017M01,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
0.0,2018M03,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,BAKER ROCK CRUSHING CO.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
142.12,2021M03,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,VERTICAL SOLUTIONS INC,DEFENSE LOGISTICS AGENCY
0.0,2018M01,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"APPALACHIAN AGGREGATES, LLC",FOREST SERVICE
323750.0,2021M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"GRAROK, LLC",DEPT OF THE ARMY
15817.22,2020M01,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
98.0,2020M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
10432.24,2021M01,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
98.0,2019M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
99995.82,2019M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"P. K. GUIDO, INC.",BUREAU OF LAND MANAGEMENT
21530.0,2019M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"GULF HOLDINGS, LLC",DEPT OF THE ARMY
15050.0,2018M12,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"BLOUCH, GEORGE H. FUEL SERVICE, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
1864089.22,2020M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"INTERNATIONAL TRADE MANAGEMENT GROUP, LLC",U.S. FISH AND WILDLIFE SERVICE
191.77,2019M03,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"SZY HOLDINGS, LLC",DEFENSE LOGISTICS AGENCY
420.0,2017M10,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,EQUIPMENT PARTS SALES,DEFENSE LOGISTICS AGENCY
20324.0,2019M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
772825.87,2016M12,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE
3948.46,2018M10,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,SPAIRES INC,DEFENSE LOGISTICS AGENCY
0.0,2020M10,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",SUPPORT ACTIVITIES FOR COAL MINING,"BRANDAMAR, INC.",DEFENSE LOGISTICS AGENCY
5071.94,2016M08,REPAIR OR ALTERATION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
98.0,2020M05,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
350000.0,2020M01,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,GEBAL AL-SAADA,DEPT OF THE ARMY
7951.52,2016M03,"MINERALS, NATURAL AND SYNTHETIC",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MUNDY STONE COMPANY,FOREST SERVICE
423.92,2019M02,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"KAMPI COMPONENTS CO., INC.",DEFENSE LOGISTICS AGENCY
26132.93,2017M09,CONSTRUCTION OF AMMUNITION FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
24910.0,2017M06,SUPPORT- MANAGEMENT: DATA COLLECTION,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,PAC SEIS,US GEOLOGICAL SURVEY
3461.19,2021M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"BRYCO MACHINE, INC.",DEFENSE LOGISTICS AGENCY
29409.51,2018M10,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
314.93,2018M02,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"ENDURANCE SOLUTIONS, LLC",DEFENSE LOGISTICS AGENCY
52513.19,2017M04,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
9705.6,2016M03,MISCELLANEOUS SHIP AND MARINE EQUIPMENT,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MARINE EQUIPMENT, INC",DEPT OF THE NAVY
10300.0,2016M01,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,L L CARTER & SON INC,DEPT OF THE ARMY
170.94,2016M08,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"JGILS, LLC",DEFENSE LOGISTICS AGENCY
22.5,2018M05,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
6852.0,2016M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,BING CONSTRUCTION COMPANY OF NEVADA,FOREST SERVICE
2700.0,2016M09,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"WBPARTS, INC.",DEFENSE LOGISTICS AGENCY
3188.78,2019M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY
36260.0,2021M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,PATRICK ENVIRONMENTAL GROUP,NATIONAL PARK SERVICE
3950.4,2019M07,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,CONSTRUCTION SAND AND GRAVEL MINING,"CANTRELL, DENNIS",FOREST SERVICE
30717.7,2020M11,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
8435.7,2016M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"CRYSTAL CREEK AGGREGATE, INC.",NATIONAL PARK SERVICE
0.0,2020M10,FUEL OILS,NATURAL GAS EXTRACTION,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
10764.0,2019M02,MARINE LIFESAVING AND DIVING EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,BAE SYSTEMS LAND & ARMAMENTS L.P.,DEFENSE LOGISTICS AGENCY
112.5,2018M05,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
6610.12,2019M04,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,INTEGRATED PROCUREMENT TECHNOLOGIES,DEFENSE LOGISTICS AGENCY
143250.0,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,CUSTOM DESIGN FABRICATORS,FOREST SERVICE
177696.75,2020M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
2668.8,2016M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,LIQUIGAS SPA,DEPT OF THE ARMY
625.0,2016M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,DEFENSE LOGISTICS AGENCY
66638.08,2018M02,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
22047.81,2016M02,MISCELLANEOUS CHEMICAL SPECIALTIES,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,FARM & HOME SERVICE INC,AGRICULTURAL RESEARCH SERVICE
827.1,2021M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
14312.0,2018M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
11550.0,2021M08,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
16000.0,2017M10,MISCELLANEOUS CONSTRUCTION EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,"M & F CONCRETE, INC.",NATIONAL PARK SERVICE
2152.58,2017M03,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
94611.99,2017M09,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,JAY JOH ENGINEERING INC,DEPT OF THE ARMY
15586.92,2021M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
98.0,2019M07,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
5732.02,2016M11,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,MHD-ROCKLAND INC.,DEFENSE LOGISTICS AGENCY
836.0,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
98.0,2021M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
1781.1,2018M03,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
361.69,2019M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
249.0,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
476170.25,2016M03,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"VINE LABORATORIES, INC.",FEDERAL HIGHWAY ADMINISTRATION
14841.03,2016M08,"MINERALS, NATURAL AND SYNTHETIC",OTHER CHEMICAL AND FERTILIZER MINERAL MINING,COMPASS MINERALS AMERICA INC,NATIONAL PARK SERVICE
39519.45,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
78.79,2016M12,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"HYSTER-YALE GROUP, INC.",DEFENSE LOGISTICS AGENCY
0.0,2017M10,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
5500.0,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
38259.25,2016M09,"MINERALS, NATURAL AND SYNTHETIC",OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"MJL ENTERPRISES, LLC",DEPT OF THE NAVY
0.0,2018M06,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,F P A MANUFACTURING,DEFENSE LOGISTICS AGENCY
3588.2,2017M10,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
11057.56,2016M07,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
120.4,2017M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"CARLISLE, KAREN",DEFENSE LOGISTICS AGENCY
15275.58,2016M12,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MIDLAND SERVICES INC,NATIONAL PARK SERVICE
27462.76,2018M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
98.0,2020M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
7483.88,2017M07,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CALHOUN QUARRY, INCORPORATED",U.S. FISH AND WILDLIFE SERVICE
247602.37,2019M03,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY
251.85,2020M04,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,CAPITAL GASKET AND RUBBER INC,DEFENSE LOGISTICS AGENCY
98.0,2019M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
100.0,2018M01,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,PHOENIX TRADING INC.,DEFENSE LOGISTICS AGENCY
20076.0,2016M07,"MINERALS, NATURAL AND SYNTHETIC",ALL OTHER NONMETALLIC MINERAL MINING,VOLLMER EXCAVATION LP,NATIONAL PARK SERVICE
8348.0,2017M03,LEASE OR RENTAL OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,DRILLING OIL AND GAS WELLS,INTERSTATE DRILLING SERVICES LLP,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
95340.0,2016M09,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"CALIPER CONSTRUCTION, INC.",DEPT OF THE AIR FORCE
0.0,2016M10,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"BOBBY TAYLOR OIL CO., INC.","VETERANS AFFAIRS, DEPARTMENT OF"
0.0,2019M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"SAGE ENERGY TRADING, LLC",DEFENSE LOGISTICS AGENCY
9911.26,2017M08,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CALHOUN QUARRY, INCORPORATED",U.S. FISH AND WILDLIFE SERVICE
64.13,2019M12,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2020M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"APPALACHIAN AGGREGATES, LLC",FOREST SERVICE
209500.0,2020M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"FARR TRUCKING, INC.",NATIONAL PARK SERVICE
149178.0,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"CROWLEY HOLDINGS, LLC",U.S. FISH AND WILDLIFE SERVICE
70282.94,2020M09,"MINERALS, NATURAL AND SYNTHETIC",OTHER CHEMICAL AND FERTILIZER MINERAL MINING,ECOLOGY MIR GROUP LLC,DEPT OF THE ARMY
7920.0,2020M07,TEXTILE FABRICS,CRUDE PETROLEUM EXTRACTION,"COMMERCIAL CONTRACTING ENTERPRISES, INC",DEPT OF THE NAVY
2366.63,2016M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY
11473.0,2017M05,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
16335.76,2020M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
14824.12,2016M07,CONSTRUCTION OF FUEL SUPPLY FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
10692.6,2016M06,MAINTENANCE OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1159.93,2017M12,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY
38.95,2016M04,KNOBS AND POINTERS,SUPPORT ACTIVITIES FOR COAL MINING,HOWCO DISTRIBUTING CO.,DEFENSE LOGISTICS AGENCY
